,District,Link,Price,Rooms,Totsp,Livesp,Kitsp,floor,number of floors,MetrDist,Walk,New,Brick,Balkon,DistCenter
0,÷¿Œ,150882390,40910468.0,2.0,45.6,25.0,12.0,6.0,7.0,2.0,1.0,1.0,1.0,0.0,0.8559199881414581
1,÷¿Œ,48903041,12149428.0,1.0,38.6,0.0,0.0,2.0,7.0,5.0,1.0,1.0,1.0,0.0,2.9236469945504724
2,÷¿Œ,149623161,10950000.0,2.0,65.2,36.2,7.2,3.0,10.0,5.0,1.0,0.0,0.0,0.0,6.024715590618913
3,÷¿Œ,149031259,4585315.0,1.0,17.3,17.3,0.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,4.083879815241709
4,÷¿Œ,151004941,4814581.0,1.0,17.3,10.0,0.0,2.0,5.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
5,÷¿Œ,150346368,4814581.0,1.0,17.3,17.3,0.0,2.0,6.0,5.0,1.0,0.0,1.0,0.0,4.1315027400888065
6,÷¿Œ,149031296,5225953.0,1.0,18.1,18.1,0.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0,4.083879815241709
7,÷¿Œ,150640194,5300000.0,1.0,32.0,20.0,7.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,4.25489260434479
8,÷¿Œ,151004981,5377566.0,1.0,18.3,10.0,0.0,5.0,5.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
9,÷¿Œ,148794719,5496232.0,1.0,23.7,23.7,0.0,2.0,6.0,5.0,1.0,0.0,1.0,0.0,4.1315027400888065
10,÷¿Œ,149565205,5550000.0,1.0,37.4,20.0,9.6,1.0,1.0,10.0,1.0,0.0,0.0,1.0,4.984060477508873
11,÷¿Œ,151139861,5900000.0,2.0,38.0,24.0,6.0,10.0,12.0,10.0,0.0,0.0,0.0,1.0,0.2711609752924686
12,÷¿Œ,149849414,5900000.0,1.0,30.0,16.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,6.104529811373856
13,÷¿Œ,149300855,6000000.0,1.0,35.0,20.0,10.0,1.0,12.0,13.0,1.0,0.0,0.0,0.0,6.0651142661697985
14,÷¿Œ,149788538,6000000.0,1.0,35.1,20.1,9.6,12.0,12.0,10.0,0.0,0.0,0.0,1.0,4.004656531665441
15,÷¿Œ,148112883,6100000.0,1.0,34.0,21.0,8.0,2.0,5.0,12.0,1.0,0.0,1.0,1.0,4.259753173654468
16,÷¿Œ,149727197,6100000.0,1.0,36.0,20.0,10.0,12.0,12.0,10.0,1.0,0.0,0.0,1.0,4.004656531665441
17,÷¿Œ,151005044,6258687.0,1.0,25.5,15.0,0.0,4.0,4.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
18,÷¿Œ,149031382,6258687.0,1.0,25.5,25.5,0.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0,4.083879815241709
19,÷¿Œ,150910021,6325576.0,1.0,29.5,0.0,29.5,3.0,4.0,5.0,1.0,1.0,1.0,0.0,4.083879815241709
20,÷¿Œ,151005116,6325576.0,1.0,30.0,17.0,0.0,3.0,4.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
21,÷¿Œ,148800467,6325576.0,1.0,29.5,29.5,0.0,3.0,6.0,5.0,1.0,0.0,1.0,0.0,4.105752443453204
22,÷¿Œ,149031279,6355668.0,1.0,22.3,22.3,0.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,4.083879815241709
23,÷¿Œ,150459322,6400000.0,1.0,34.0,18.0,10.0,2.0,12.0,10.0,1.0,0.0,0.0,1.0,6.342621886964603
24,÷¿Œ,151005216,6437035.0,1.0,33.5,18.0,0.0,3.0,4.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
25,÷¿Œ,151005085,6449418.0,1.0,28.5,16.0,0.0,4.0,4.0,6.0,1.0,1.0,1.0,0.0,4.083879815241709
26,÷¿Œ,140980631,6500000.0,1.0,36.8,20.5,6.0,2.0,5.0,11.0,1.0,0.0,1.0,0.0,6.136576661133029
27,÷¿Œ,150260995,6500000.0,1.0,30.7,18.6,5.6,5.0,5.0,10.0,1.0,0.0,1.0,1.0,4.418943555837728
28,÷¿Œ,150882546,35040933.0,1.0,59.7,30.0,0.0,2.0,11.0,6.0,1.0,1.0,1.0,0.0,2.162814200926387
29,÷¿Œ,150973517,18600000.0,1.0,52.0,28.0,10.0,14.0,14.0,6.0,1.0,0.0,0.0,1.0,3.5343225022296574
30,÷¿Œ,149004008,95000000.0,0.0,230.0,146.0,16.5,3.0,3.0,8.0,1.0,0.0,1.0,0.0,1.4695252392341063
31,÷¿Œ,150678964,6600000.0,1.0,33.1,20.2,5.6,5.0,9.0,5.0,1.0,0.0,1.0,1.0,4.436114446205744
32,÷¿Œ,150679023,6600000.0,2.0,33.1,18.0,6.0,5.0,9.0,5.0,1.0,0.0,1.0,1.0,4.436114446205744
33,÷¿Œ,150977773,6790000.0,1.0,27.0,17.0,5.4,4.0,5.0,10.0,1.0,0.0,1.0,0.0,5.069969995084758
34,÷¿Œ,150720249,6800000.0,1.0,31.0,19.0,7.0,4.0,5.0,15.0,1.0,0.0,1.0,1.0,4.891212168396706
35,÷¿Œ,147655377,6850000.0,1.0,32.0,17.0,8.0,9.0,12.0,9.0,1.0,0.0,0.0,1.0,4.113459556511741
36,÷¿Œ,149031235,6889007.0,1.0,26.1,26.1,0.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,4.083879815241709
37,÷¿Œ,149431030,6900000.0,1.0,34.0,19.0,9.0,3.0,16.0,5.0,1.0,0.0,0.0,1.0,2.685207637544674
38,÷¿Œ,149213362,6934500.0,1.0,34.0,0.0,0.0,8.0,16.0,5.0,1.0,0.0,0.0,1.0,2.685207637544674
39,÷¿Œ,19220848,7000000.0,2.0,35.0,22.0,5.5,2.0,9.0,10.0,1.0,0.0,1.0,0.0,4.472363583666881
